헤드라인,내용요약,키워드,규모,투자금액,공사지역,담당자 연락처,원본기사 URL 링크,pubDate_kst
납득할 수 없는 AI 반도체 투자 재원 조달 방안 [세상읽기],"지난 10월1일, 이재명 대통령은 인공지능(AI) 투자 활성화를 위해 금산분리 완화를 검토하겠다고 밝혔다. 이는 오픈에이아이가 삼성전자와 에스케이(SK)하이닉스에 2029년부터 막",생산능력 확대,,,,,https://n.news.naver.com/mnews/article/028/0002774241?sid=110,2025-11-02 18:50:00+09:00
"새만금 첫 외투기업 도레이, 5000톤 'PPS-2호기' 완공",자동차·전기전자·산업기계 등 다양한 산업 분야에 공급 확대 기대 새만금의 첫 외투기업인 도레이첨단소재가 연간 5000톤 규모의 PPS(폴리페닐렌설파이드) 2호기 생산라인 증설을 마,라인 증설,1만,3000,전북,,https://n.news.naver.com/mnews/article/629/0000439644?sid=102,2025-11-01 17:38:00+09:00
"반도체 슈퍼사이클…설비투자·건설 공사 , 9월 두 자릿수 증가",건설업 활동 수준을 보여주는 건설기성은 전월 대비 11.4% 증가해 작년 1월(21.8%) 후 최대 상승폭을 기록했다. 조성중 기획재정부 경제분석과장은 “반도체 기업들이 업황 반등,"공장 증설, 설비투자",,,,,https://n.news.naver.com/mnews/article/015/0005205328?sid=101,2025-10-31 17:47:00+09:00
경제 곳곳에 반도체 호황 온기…소매판매는 아직 '마이너스',삼성전자·SK하이닉스 주가 상승 자산 효과로 소비심리 개선될 듯반도체 업황이 기지개를 켜면서 경제지표 곳곳에 온기가 감돌고 있다. 하지만 가계 씀씀이를 나타내는 소매판매는 여전히 ,공장 증설,,,,,https://n.news.naver.com/mnews/article/015/0005205327?sid=101,2025-10-31 17:47:00+09:00
"내년 실전 배치 KF-21, 공대공미사일 부족에 ‘깡통 전투기’ 우려",우리 기술로 만든 4.5세대 전투기 KF-21이 최근 ‘서울 국제 항공우주 및 방위산업 전시회(ADEX) 2025’에서 일반 대중을 상대로 첫 고난도 공중기동 시범을 선보였다. 실,공장 증축,,,,,https://n.news.naver.com/mnews/article/037/0000037161?sid=104,2025-10-30 09:02:00+09:00
"[바이오게시판] 한미약품, 신규 항암 파이프라인 소개 등",■한미약품은 최근 미국 보스턴에서 열린 국제 암 학회 학술 대회에서 신규 항암 신약 ‘EP300 선택적 분해제’에 대한 비임상 연구 결과를 공개했다고 29일 밝혔다. EP300 단,공장 증축,,1300,충청북도,,https://n.news.naver.com/mnews/article/366/0001118465?sid=101,2025-10-29 18:06:00+09:00
"명인제약, 발안 2 공장 내년 준공…연간 2억 캡슐 생산",발안 2공장은 연면적 1만9545㎡(약 5913평) 규모로 총 1300억이 투입되는 대형 프로젝트다. 현재 골조 공사 완료 단계에 있으며 내년 상반기 내 외장 및 내부 클린룸 공사,공장 증축,,,,,https://n.news.naver.com/mnews/article/119/0003018192?sid=101,2025-10-29 15:14:00+09:00
"풀무원, 강화도 발달장애노인 그룹홈 ‘시몬의집’ 건립에 1억 기부","풀무원, 강화도 발달장애노인 그룹홈 ‘시몬의집’ 건립에 1억 기부 풀무원은 발달장애인의 안정적인 노후 지원을 위해 인천 강화도 강화도우리마을에 조성되는 발달장애노인 그룹홈 ‘시몬의",공장 증축,,1,,,https://n.news.naver.com/mnews/article/022/0004078554?sid=101,2025-10-29 15:02:00+09:00
"명인제약, 발안 제2 공장 내년 준공… 펠렛 제형 글로벌 생산기지 구축",명인제약이 글로벌 위탁개발생산(CDMO) 경쟁력 강화를 위한 발안 제2공장 증축이 순조롭게 진행 중이라고 29일 밝혔다. 발안 제2공장은 연면적 1만9545㎡(약 5913평) 규모,공장 증축,,1300,,,https://n.news.naver.com/mnews/article/030/0003364329?sid=102,2025-10-29 14:56:00+09:00
"신혜성, 논현동 건물 매각 추진… 49억 매입→57억~63억 매물",2번 음주운전·도박 전력에 활동 중단…법인 통한 자산 정리 나서 [스포츠서울 | 이주상 기자] 음주운전과 도박 문제로 활동을 중단한 그룹 신화의 멤버 신혜성(45)이 서울 강남구 ,증축 공사,180.9㎡,49,,,https://m.entertain.naver.com/home/article/468/0001190813,2025-11-01 08:53:00+09:00
